forecast_date,route_name,forecast_occ,lower_bound,upper_bound,base_buses,recommended_buses,recommendation,extra_buses,est_extra_revenue_inr,est_extra_cost_inr,est_net_impact_inr,forecast_occ_pct
2025-01-01,AMD→Bhuj,0.7815,0.7036,0.8675,5,5,Keep As-Is,0,0.0,0.0,0.0,78.15
2025-01-02,AMD→Bhuj,0.751,0.6812,0.8366,5,5,Keep As-Is,0,0.0,0.0,0.0,75.1
2025-01-03,AMD→Bhuj,0.8015,0.7221,0.884,5,6,Add 1 Bus,1,19993.0,12196.0,7797.0,80.15
2025-01-04,AMD→Bhuj,0.9235,0.8396,1.0,5,7,Add 2 Buses,2,46073.0,24391.0,21682.0,92.35
2025-01-05,AMD→Bhuj,0.9108,0.8344,0.9854,5,6,Add 1 Bus,1,22720.0,12196.0,10524.0,91.08
2025-01-06,AMD→Bhuj,0.578,0.4982,0.6578,5,5,Keep As-Is,0,0.0,0.0,0.0,57.8
2025-01-07,AMD→Bhuj,0.5753,0.4973,0.6524,5,5,Keep As-Is,0,0.0,0.0,0.0,57.53
2025-01-08,AMD→Bhuj,0.7007,0.6143,0.7875,5,5,Keep As-Is,0,0.0,0.0,0.0,70.07
2025-01-09,AMD→Bhuj,0.7265,0.6434,0.8048,5,5,Keep As-Is,0,0.0,0.0,0.0,72.65
2025-01-10,AMD→Bhuj,0.8138,0.7312,0.8924,5,6,Add 1 Bus,1,20300.0,12196.0,8104.0,81.38
2025-01-11,AMD→Bhuj,0.8921,0.8121,0.9733,5,6,Add 1 Bus,1,22253.0,12196.0,10057.0,89.21
2025-01-12,AMD→Bhuj,0.9025,0.8244,0.9817,5,6,Add 1 Bus,1,22513.0,12196.0,10317.0,90.25
2025-01-13,AMD→Bhuj,0.5726,0.4917,0.6499,5,5,Keep As-Is,0,0.0,0.0,0.0,57.26
2025-01-14,AMD→Bhuj,0.36,0.2768,0.4423,5,4,Remove 1 Bus,-1,-8980.0,12196.0,-21176.0,36.0
2025-01-15,AMD→Bhuj,0.6015,0.5179,0.6791,5,5,Keep As-Is,0,0.0,0.0,0.0,60.15
2025-01-16,AMD→Bhuj,0.6879,0.6092,0.7678,5,5,Keep As-Is,0,0.0,0.0,0.0,68.79
2025-01-17,AMD→Bhuj,0.7748,0.6946,0.8524,5,5,Keep As-Is,0,0.0,0.0,0.0,77.48
2025-01-18,AMD→Bhuj,0.9079,0.8256,0.9875,5,6,Add 1 Bus,1,22648.0,12196.0,10452.0,90.79
2025-01-19,AMD→Bhuj,0.8952,0.8182,0.9697,5,6,Add 1 Bus,1,22331.0,12196.0,10135.0,89.52
2025-01-20,AMD→Bhuj,0.5683,0.4824,0.6444,5,5,Keep As-Is,0,0.0,0.0,0.0,56.83
2025-01-21,AMD→Bhuj,0.5659,0.487,0.6432,5,5,Keep As-Is,0,0.0,0.0,0.0,56.59
2025-01-22,AMD→Bhuj,0.6593,0.5799,0.7395,5,5,Keep As-Is,0,0.0,0.0,0.0,65.93
2025-01-23,AMD→Bhuj,0.7063,0.6263,0.7818,5,5,Keep As-Is,0,0.0,0.0,0.0,70.63
2025-01-24,AMD→Bhuj,0.7601,0.6807,0.8485,5,5,Keep As-Is,0,0.0,0.0,0.0,76.01
2025-01-25,AMD→Bhuj,0.8855,0.806,0.961,5,6,Add 1 Bus,1,22089.0,12196.0,9893.0,88.55
2025-01-26,AMD→Bhuj,0.8885,0.8064,0.9694,5,6,Add 1 Bus,1,22164.0,12196.0,9968.0,88.85
2025-01-27,AMD→Bhuj,0.5645,0.4847,0.6394,5,5,Keep As-Is,0,0.0,0.0,0.0,56.45
2025-01-28,AMD→Bhuj,0.5621,0.484,0.6342,5,5,Keep As-Is,0,0.0,0.0,0.0,56.21
2025-01-29,AMD→Bhuj,0.7101,0.6307,0.7916,5,5,Keep As-Is,0,0.0,0.0,0.0,71.01
2025-01-30,AMD→Bhuj,0.6608,0.5845,0.7401,5,5,Keep As-Is,0,0.0,0.0,0.0,66.08
2025-01-31,AMD→Bhuj,0.6758,0.5949,0.7594,5,5,Keep As-Is,0,0.0,0.0,0.0,67.58
2025-02-01,AMD→Bhuj,0.7934,0.716,0.8668,5,5,Keep As-Is,0,0.0,0.0,0.0,79.34
2025-02-02,AMD→Bhuj,0.7855,0.7143,0.8635,5,5,Keep As-Is,0,0.0,0.0,0.0,78.55
2025-02-03,AMD→Bhuj,0.5789,0.4937,0.6617,5,5,Keep As-Is,0,0.0,0.0,0.0,57.89
2025-02-04,AMD→Bhuj,0.5695,0.4899,0.6516,5,5,Keep As-Is,0,0.0,0.0,0.0,56.95
2025-02-05,AMD→Bhuj,0.5985,0.5173,0.6776,5,5,Keep As-Is,0,0.0,0.0,0.0,59.85
2025-02-06,AMD→Bhuj,0.6275,0.551,0.7038,5,5,Keep As-Is,0,0.0,0.0,0.0,62.75
2025-02-07,AMD→Bhuj,0.6864,0.6078,0.7662,5,5,Keep As-Is,0,0.0,0.0,0.0,68.64
2025-02-08,AMD→Bhuj,0.8014,0.7261,0.8802,5,6,Add 1 Bus,1,19991.0,12196.0,7795.0,80.14
2025-02-09,AMD→Bhuj,0.7918,0.7097,0.8696,5,5,Keep As-Is,0,0.0,0.0,0.0,79.18
2025-02-10,AMD→Bhuj,0.5848,0.5013,0.6583,5,5,Keep As-Is,0,0.0,0.0,0.0,58.48
2025-02-11,AMD→Bhuj,0.573,0.4924,0.6494,5,5,Keep As-Is,0,0.0,0.0,0.0,57.3
2025-02-12,AMD→Bhuj,0.599,0.5207,0.6858,5,5,Keep As-Is,0,0.0,0.0,0.0,59.9
2025-02-13,AMD→Bhuj,0.6248,0.5471,0.7001,5,5,Keep As-Is,0,0.0,0.0,0.0,62.48
2025-02-14,AMD→Bhuj,0.6803,0.5999,0.7572,5,5,Keep As-Is,0,0.0,0.0,0.0,68.03
2025-02-15,AMD→Bhuj,0.791,0.7046,0.8666,5,5,Keep As-Is,0,0.0,0.0,0.0,79.1
2025-02-16,AMD→Bhuj,0.7783,0.696,0.8571,5,5,Keep As-Is,0,0.0,0.0,0.0,77.83
2025-02-17,AMD→Bhuj,0.5699,0.4806,0.6484,5,5,Keep As-Is,0,0.0,0.0,0.0,56.99
2025-02-18,AMD→Bhuj,0.5551,0.4687,0.6362,5,5,Keep As-Is,0,0.0,0.0,0.0,55.51
2025-02-19,AMD→Bhuj,0.5778,0.5032,0.6573,5,5,Keep As-Is,0,0.0,0.0,0.0,57.78
2025-02-20,AMD→Bhuj,0.6004,0.5266,0.6787,5,5,Keep As-Is,0,0.0,0.0,0.0,60.04
2025-02-21,AMD→Bhuj,0.6526,0.5725,0.7271,5,5,Keep As-Is,0,0.0,0.0,0.0,65.26
2025-02-22,AMD→Bhuj,0.7599,0.6855,0.8378,5,5,Keep As-Is,0,0.0,0.0,0.0,75.99
2025-02-23,AMD→Bhuj,0.7449,0.6629,0.8227,5,5,Keep As-Is,0,0.0,0.0,0.0,74.49
2025-02-24,AMD→Bhuj,0.5364,0.4571,0.622,5,5,Keep As-Is,0,0.0,0.0,0.0,53.64
2025-02-25,AMD→Bhuj,0.5199,0.4418,0.6027,5,5,Keep As-Is,0,0.0,0.0,0.0,51.99
2025-02-26,AMD→Bhuj,0.5411,0.4637,0.6198,5,5,Keep As-Is,0,0.0,0.0,0.0,54.11
2025-02-27,AMD→Bhuj,0.5624,0.4783,0.6427,5,5,Keep As-Is,0,0.0,0.0,0.0,56.24
2025-02-28,AMD→Bhuj,0.6132,0.5409,0.6991,5,5,Keep As-Is,0,0.0,0.0,0.0,61.32
2025-03-01,AMD→Bhuj,0.719,0.6394,0.7983,5,5,Keep As-Is,0,0.0,0.0,0.0,71.9
2025-03-02,AMD→Bhuj,0.704,0.6227,0.7841,5,5,Keep As-Is,0,0.0,0.0,0.0,70.4
2025-03-03,AMD→Bhuj,0.4974,0.4202,0.5748,5,5,Keep As-Is,0,0.0,0.0,0.0,49.74
2025-03-04,AMD→Bhuj,0.4815,0.4015,0.5562,5,5,Keep As-Is,0,0.0,0.0,0.0,48.15
2025-03-05,AMD→Bhuj,0.503,0.424,0.5812,5,5,Keep As-Is,0,0.0,0.0,0.0,50.3
2025-03-06,AMD→Bhuj,0.5249,0.4428,0.6027,5,5,Keep As-Is,0,0.0,0.0,0.0,52.49
2025-03-07,AMD→Bhuj,0.5763,0.4951,0.6565,5,5,Keep As-Is,0,0.0,0.0,0.0,57.63
2025-03-08,AMD→Bhuj,0.6823,0.601,0.7671,5,5,Keep As-Is,0,0.0,0.0,0.0,68.23
2025-03-09,AMD→Bhuj,0.6687,0.5898,0.7483,5,5,Keep As-Is,0,0.0,0.0,0.0,66.87
2025-03-10,AMD→Bhuj,0.4655,0.3847,0.5466,5,5,Keep As-Is,0,0.0,0.0,0.0,46.55
2025-03-11,AMD→Bhuj,0.4512,0.3771,0.5279,5,5,Keep As-Is,0,0.0,0.0,0.0,45.12
2025-03-12,AMD→Bhuj,0.4742,0.3926,0.5542,5,5,Keep As-Is,0,0.0,0.0,0.0,47.42
2025-03-13,AMD→Bhuj,0.4975,0.4235,0.5771,5,5,Keep As-Is,0,0.0,0.0,0.0,49.75
2025-03-14,AMD→Bhuj,0.5502,0.4683,0.6331,5,5,Keep As-Is,0,0.0,0.0,0.0,55.02
2025-03-15,AMD→Bhuj,0.6569,0.5727,0.7295,5,5,Keep As-Is,0,0.0,0.0,0.0,65.69
2025-03-16,AMD→Bhuj,0.6451,0.5574,0.7264,5,5,Keep As-Is,0,0.0,0.0,0.0,64.51
2025-03-17,AMD→Bhuj,0.4454,0.3597,0.5248,5,4,Remove 1 Bus,-1,-11111.0,12196.0,-23307.0,44.54
2025-03-18,AMD→Bhuj,0.4328,0.3567,0.515,5,4,Remove 1 Bus,-1,-10796.0,12196.0,-22992.0,43.28
2025-03-19,AMD→Bhuj,0.457,0.3768,0.5303,5,5,Keep As-Is,0,0.0,0.0,0.0,45.7
2025-03-20,AMD→Bhuj,0.4816,0.4078,0.5646,5,5,Keep As-Is,0,0.0,0.0,0.0,48.16
2025-03-21,AMD→Bhuj,0.5351,0.4558,0.6186,5,5,Keep As-Is,0,0.0,0.0,0.0,53.51
2025-03-22,AMD→Bhuj,0.6421,0.5588,0.7192,5,5,Keep As-Is,0,0.0,0.0,0.0,64.21
2025-03-23,AMD→Bhuj,0.6316,0.5588,0.7174,5,5,Keep As-Is,0,0.0,0.0,0.0,63.16
2025-03-24,AMD→Bhuj,0.4348,0.3564,0.5167,5,4,Remove 1 Bus,-1,-10846.0,12196.0,-23042.0,43.48
2025-03-25,AMD→Bhuj,0.4233,0.339,0.5033,5,4,Remove 1 Bus,-1,-10559.0,12196.0,-22755.0,42.33
2025-03-26,AMD→Bhuj,0.4482,0.3721,0.5293,5,4,Remove 1 Bus,-1,-11180.0,12196.0,-23376.0,44.82
2025-03-27,AMD→Bhuj,0.4733,0.3959,0.5527,5,5,Keep As-Is,0,0.0,0.0,0.0,47.33
2025-03-28,AMD→Bhuj,0.5269,0.4448,0.6112,5,5,Keep As-Is,0,0.0,0.0,0.0,52.69
2025-03-29,AMD→Bhuj,0.6335,0.5485,0.7102,5,5,Keep As-Is,0,0.0,0.0,0.0,63.35
2025-03-30,AMD→Bhuj,0.6235,0.542,0.7036,5,5,Keep As-Is,0,0.0,0.0,0.0,62.35
2025-03-31,AMD→Bhuj,0.4289,0.3564,0.5117,5,4,Remove 1 Bus,-1,-10699.0,12196.0,-22895.0,42.89
2025-01-01,AMD→Dwarka,0.9642,0.8953,1.0,3,5,Add 2 Buses,2,52142.0,29974.0,22168.0,96.42
2025-01-02,AMD→Dwarka,0.6211,0.5524,0.6947,3,3,Keep As-Is,0,0.0,0.0,0.0,62.11
2025-01-03,AMD→Dwarka,0.7203,0.6531,0.7861,3,3,Keep As-Is,0,0.0,0.0,0.0,72.03
2025-01-04,AMD→Dwarka,0.8069,0.7413,0.8772,3,4,Add 1 Bus,1,21818.0,14987.0,6831.0,80.69
2025-01-05,AMD→Dwarka,0.8461,0.7775,0.9171,3,4,Add 1 Bus,1,22878.0,14987.0,7891.0,84.61
2025-01-06,AMD→Dwarka,0.5786,0.5075,0.6418,3,3,Keep As-Is,0,0.0,0.0,0.0,57.86
2025-01-07,AMD→Dwarka,0.6011,0.5351,0.6721,3,3,Keep As-Is,0,0.0,0.0,0.0,60.11
2025-01-08,AMD→Dwarka,0.6293,0.5624,0.6981,3,3,Keep As-Is,0,0.0,0.0,0.0,62.93
2025-01-09,AMD→Dwarka,0.6374,0.5657,0.6989,3,3,Keep As-Is,0,0.0,0.0,0.0,63.74
2025-01-10,AMD→Dwarka,0.682,0.6165,0.7516,3,3,Keep As-Is,0,0.0,0.0,0.0,68.2
2025-01-11,AMD→Dwarka,0.8386,0.7695,0.9092,3,4,Add 1 Bus,1,22675.0,14987.0,7688.0,83.86
2025-01-12,AMD→Dwarka,0.9204,0.8495,0.9856,3,5,Add 2 Buses,2,49774.0,29974.0,19800.0,92.04
2025-01-13,AMD→Dwarka,0.5884,0.5152,0.6575,3,3,Keep As-Is,0,0.0,0.0,0.0,58.84
2025-01-14,AMD→Dwarka,0.57,0.4992,0.6367,3,3,Keep As-Is,0,0.0,0.0,0.0,57.0
2025-01-15,AMD→Dwarka,0.847,0.7751,0.9136,3,4,Add 1 Bus,1,22902.0,14987.0,7915.0,84.7
2025-01-16,AMD→Dwarka,0.6253,0.5615,0.6853,3,3,Keep As-Is,0,0.0,0.0,0.0,62.53
2025-01-17,AMD→Dwarka,0.7145,0.6509,0.7792,3,3,Keep As-Is,0,0.0,0.0,0.0,71.45
2025-01-18,AMD→Dwarka,0.8275,0.7607,0.9003,3,4,Add 1 Bus,1,22375.0,14987.0,7388.0,82.75
2025-01-19,AMD→Dwarka,0.8624,0.8006,0.9306,3,4,Add 1 Bus,1,23318.0,14987.0,8331.0,86.24
2025-01-20,AMD→Dwarka,0.6222,0.5596,0.6899,3,3,Keep As-Is,0,0.0,0.0,0.0,62.22
2025-01-21,AMD→Dwarka,0.5874,0.5232,0.6526,3,3,Keep As-Is,0,0.0,0.0,0.0,58.74
2025-01-22,AMD→Dwarka,0.5231,0.4586,0.5915,3,3,Keep As-Is,0,0.0,0.0,0.0,52.31
2025-01-23,AMD→Dwarka,0.6269,0.557,0.6946,3,3,Keep As-Is,0,0.0,0.0,0.0,62.69
2025-01-24,AMD→Dwarka,0.7096,0.6456,0.779,3,3,Keep As-Is,0,0.0,0.0,0.0,70.96
2025-01-25,AMD→Dwarka,0.8521,0.7811,0.9144,3,4,Add 1 Bus,1,23040.0,14987.0,8053.0,85.21
2025-01-26,AMD→Dwarka,0.8506,0.7827,0.9168,3,4,Add 1 Bus,1,22999.0,14987.0,8012.0,85.06
2025-01-27,AMD→Dwarka,0.5989,0.5282,0.6669,3,3,Keep As-Is,0,0.0,0.0,0.0,59.89
2025-01-28,AMD→Dwarka,0.5813,0.5131,0.6507,3,3,Keep As-Is,0,0.0,0.0,0.0,58.13
2025-01-29,AMD→Dwarka,0.5716,0.5041,0.6384,3,3,Keep As-Is,0,0.0,0.0,0.0,57.16
2025-01-30,AMD→Dwarka,0.6117,0.5442,0.6823,3,3,Keep As-Is,0,0.0,0.0,0.0,61.17
2025-01-31,AMD→Dwarka,0.6908,0.6215,0.7618,3,3,Keep As-Is,0,0.0,0.0,0.0,69.08
2025-02-01,AMD→Dwarka,0.8417,0.7776,0.9123,3,4,Add 1 Bus,1,22759.0,14987.0,7772.0,84.17
2025-02-02,AMD→Dwarka,0.8272,0.7617,0.8943,3,4,Add 1 Bus,1,22367.0,14987.0,7380.0,82.72
2025-02-03,AMD→Dwarka,0.5528,0.485,0.6239,3,3,Keep As-Is,0,0.0,0.0,0.0,55.28
2025-02-04,AMD→Dwarka,0.5404,0.4716,0.6076,3,3,Keep As-Is,0,0.0,0.0,0.0,54.04
2025-02-05,AMD→Dwarka,0.57,0.5037,0.641,3,3,Keep As-Is,0,0.0,0.0,0.0,57.0
2025-02-06,AMD→Dwarka,0.6062,0.5369,0.6736,3,3,Keep As-Is,0,0.0,0.0,0.0,60.62
2025-02-07,AMD→Dwarka,0.6856,0.6167,0.7546,3,3,Keep As-Is,0,0.0,0.0,0.0,68.56
2025-02-08,AMD→Dwarka,0.8359,0.7711,0.9054,3,4,Add 1 Bus,1,22602.0,14987.0,7615.0,83.59
2025-02-09,AMD→Dwarka,0.8209,0.749,0.8892,3,4,Add 1 Bus,1,22196.0,14987.0,7209.0,82.09
2025-02-10,AMD→Dwarka,0.5462,0.4791,0.6183,3,3,Keep As-Is,0,0.0,0.0,0.0,54.62
2025-02-11,AMD→Dwarka,0.5337,0.4675,0.5987,3,3,Keep As-Is,0,0.0,0.0,0.0,53.37
2025-02-12,AMD→Dwarka,0.5631,0.5015,0.6344,3,3,Keep As-Is,0,0.0,0.0,0.0,56.31
2025-02-13,AMD→Dwarka,0.5995,0.531,0.6693,3,3,Keep As-Is,0,0.0,0.0,0.0,59.95
2025-02-14,AMD→Dwarka,0.6792,0.6093,0.7419,3,3,Keep As-Is,0,0.0,0.0,0.0,67.92
2025-02-15,AMD→Dwarka,0.83,0.7656,0.8972,3,4,Add 1 Bus,1,22442.0,14987.0,7455.0,83.0
2025-02-16,AMD→Dwarka,0.8157,0.7503,0.8875,3,4,Add 1 Bus,1,22056.0,14987.0,7069.0,81.57
2025-02-17,AMD→Dwarka,0.5419,0.4729,0.6088,3,3,Keep As-Is,0,0.0,0.0,0.0,54.19
2025-02-18,AMD→Dwarka,0.5303,0.4615,0.5993,3,3,Keep As-Is,0,0.0,0.0,0.0,53.03
2025-02-19,AMD→Dwarka,0.5609,0.4914,0.6282,3,3,Keep As-Is,0,0.0,0.0,0.0,56.09
2025-02-20,AMD→Dwarka,0.5985,0.5292,0.6635,3,3,Keep As-Is,0,0.0,0.0,0.0,59.85
2025-02-21,AMD→Dwarka,0.6796,0.6106,0.7452,3,3,Keep As-Is,0,0.0,0.0,0.0,67.96
2025-02-22,AMD→Dwarka,0.8318,0.7616,0.8961,3,4,Add 1 Bus,1,22491.0,14987.0,7504.0,83.18
2025-02-23,AMD→Dwarka,0.8189,0.7557,0.8808,3,4,Add 1 Bus,1,22142.0,14987.0,7155.0,81.89
